1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 2.000000000000000000e+00 2.143546819686889648e+00 6.931471824645996094e-01
3.000000000000000000e+00 3.000000000000000000e+00 3.348369598388671875e+00 1.098612308502197266e+00
4.000000000000000000e+00 4.000000000000000000e+00 4.594793319702148438e+00 1.386294364929199219e+00
5.000000000000000000e+00 5.000000000000000000e+00 5.873095512390136719e+00 1.609437942504882812e+00
6.000000000000000000e+00 6.000000000000000000e+00 7.177387237548828125e+00 1.791759490966796875e+00
7.000000000000000000e+00 7.000000000000000000e+00 8.503699302673339844e+00 1.945910215377807617e+00
8.000000000000000000e+00 8.000000000000000000e+00 9.849155426025390625e+00 2.079441547393798828e+00
9.000000000000000000e+00 9.000000000000000000e+00 1.121157932281494141e+01 2.197224617004394531e+00
1.000000000000000000e+01 1.000000000000000000e+01 1.258925437927246094e+01 2.302585124969482422e+00
1.100000000000000000e+01 1.100000000000000000e+01 1.398079872131347656e+01 2.397895336151123047e+00
1.200000000000000000e+01 1.200000000000000000e+01 1.538506698608398438e+01 2.484906673431396484e+00
1.300000000000000000e+01 1.300000000000000000e+01 1.680109977722167969e+01 2.564949274063110352e+00
1.400000000000000000e+01 1.400000000000000000e+01 1.822807884216308594e+01 2.639057397842407227e+00
1.500000000000000000e+01 1.500000000000000000e+01 1.966529273986816406e+01 2.708050251007080078e+00
1.600000000000000000e+01 1.600000000000000000e+01 2.111212921142578125e+01 2.772588729858398438e+00
1.700000000000000000e+01 1.700000000000000000e+01 2.256803894042968750e+01 2.833213329315185547e+00
1.800000000000000000e+01 1.800000000000000000e+01 2.403254699707031250e+01 2.890371799468994141e+00
1.900000000000000000e+01 1.900000000000000000e+01 2.550521469116210938e+01 2.944438934326171875e+00
